relationshipspairslash,No Archive Warnings Apply,Choose Not To Use Archive Warnings,Graphic Depictions Of Violence,Major Character Death,Rape/Non-Con,Underage
Benjamin Sisko/Elim Garak/Ezri Dax/Jadzia Dax/Julian Bashir/Kasidy Yates/Keiko O'Brien/Kira Nerys/Leeta/Miles O'Brien/Odo/Quark/Rom/Worf,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Q,50.0,50.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Keiko O'Brien,0.0,100.0,0.0,0.0,0.0,0.0
Cox/Kira Nerys,100.0,0.0,0.0,0.0,0.0,0.0
Cox/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Dax/Elim Garak/Julian Bashir/Worf,0.0,100.0,0.0,0.0,0.0,0.0
Skrain Dukat/Weyoun/Weyoun,100.0,0.0,0.0,0.0,0.0,0.0
Weyoun/Weyoun,100.0,0.0,0.0,0.0,0.0,0.0
Kasidy Yates/Keiko O'Brien/Miles O'Brien,0.0,100.0,0.0,0.0,0.0,0.0
Boday/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0
Bareil Antos/Morn,0.0,100.0,0.0,0.0,0.0,0.0
Bareil Antos/Benjamin Sisko/Elim Garak/Ezri Dax/Jadzia Dax/Julian Bashir/Kasidy Yates/Keiko O'Brien/Kira Nerys/Leeta/Miles O'Brien/Odo/Quark/Rom/Shakaar Edon/Worf,100.0,0.0,0.0,0.0,0.0,0.0
Curzon Dax/Elim Garak/Julian Bashir/Odo,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Quark,100.0,0.0,0.0,0.0,0.0,0.0
Curzon Dax/Elim Garak/Odo,100.0,0.0,0.0,0.0,0.0,0.0
Alexander Rozhenko/Jake Sisko/Nog,0.0,100.0,0.0,0.0,0.0,0.0
Ezri Dax/Kilana,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Ezri Dax,0.0,100.0,0.0,0.0,0.0,0.0
Elim Garak/Joseph Sisko,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Weyoun,100.0,0.0,0.0,0.0,0.0,0.0
Kela Idaris/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Ziranne Idaris/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Corat Damar/Elim Garak/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
Julian Bashir/Winn Adami,100.0,0.0,0.0,0.0,0.0,0.0
Kira Nerys/Tekeny Ghemor,100.0,0.0,0.0,0.0,0.0,0.0
Alexander Rozhenko/Julian Bashir,0.0,100.0,0.0,0.0,0.0,0.0
Quark/Skrain Dukat,100.0,0.0,0.0,0.0,0.0,0.0
Julian Bashir/Martok/Sirella,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Richard Bashir,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Captain Solok,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Curzon Dax/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Kasidy Yates/Keiko O'Brien,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Dax,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Kira Nerys/Worf,0.0,100.0,0.0,0.0,0.0,0.0
Ellis Gareth/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0
Eris/Kilana,100.0,0.0,0.0,0.0,0.0,0.0
Deral/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0
Pel/non-cast,0.0,0.0,50.0,0.0,50.0,0.0
Gor/Weyoun,0.0,0.0,0.0,0.0,100.0,0.0
